repo_name,action,issue_number,title,url,state,labels,created_at
wearypossum4770/dark-coding-challenges,opened,1258,Check If All 1's Are at Least Length K Places Away,https://github.com/wearypossum4770/dark-coding-challenges/issues/1258,open,"[{""id"":8022713872,""node_id"":""LA_kwDONp7z0M8AAAAB3jDmEA"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/challenge"",""name"":""challenge"",""color"":""d4c5f9"",""default"":false,""description"":""""},{""id"":8022714187,""node_id"":""LA_kwDONp7z0M8AAAAB3jDnSw"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/easy"",""name"":""easy"",""color"":""0EE9C8"",""default"":false,""description"":""""}]",2025-01-23 23:58:31.000000 UTC
wearypossum4770/dark-coding-challenges,opened,1257,Destination City,https://github.com/wearypossum4770/dark-coding-challenges/issues/1257,open,"[{""id"":8022713872,""node_id"":""LA_kwDONp7z0M8AAAAB3jDmEA"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/challenge"",""name"":""challenge"",""color"":""d4c5f9"",""default"":false,""description"":""""},{""id"":8022714187,""node_id"":""LA_kwDONp7z0M8AAAAB3jDnSw"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/easy"",""name"":""easy"",""color"":""0EE9C8"",""default"":false,""description"":""""}]",2025-01-23 23:58:28.000000 UTC
wearypossum4770/dark-coding-challenges,opened,1256,Create a Session Bar Chart,https://github.com/wearypossum4770/dark-coding-challenges/issues/1256,open,"[{""id"":8022713872,""node_id"":""LA_kwDONp7z0M8AAAAB3jDmEA"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/challenge"",""name"":""challenge"",""color"":""d4c5f9"",""default"":false,""description"":""""},{""id"":8022714187,""node_id"":""LA_kwDONp7z0M8AAAAB3jDnSw"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/easy"",""name"":""easy"",""color"":""0EE9C8"",""default"":false,""description"":""""}]",2025-01-23 23:58:25.000000 UTC
wearypossum4770/dark-coding-challenges,opened,1252,Kids With the Greatest Number of Candies,https://github.com/wearypossum4770/dark-coding-challenges/issues/1252,open,"[{""id"":8022713872,""node_id"":""LA_kwDONp7z0M8AAAAB3jDmEA"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/challenge"",""name"":""challenge"",""color"":""d4c5f9"",""default"":false,""description"":""""},{""id"":8022714187,""node_id"":""LA_kwDONp7z0M8AAAAB3jDnSw"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/easy"",""name"":""easy"",""color"":""0EE9C8"",""default"":false,""description"":""""}]",2025-01-23 23:58:13.000000 UTC
wearypossum4770/dark-coding-challenges,opened,1248,Perform String Shifts,https://github.com/wearypossum4770/dark-coding-challenges/issues/1248,open,"[{""id"":8022713872,""node_id"":""LA_kwDONp7z0M8AAAAB3jDmEA"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/challenge"",""name"":""challenge"",""color"":""d4c5f9"",""default"":false,""description"":""""},{""id"":8022714187,""node_id"":""LA_kwDONp7z0M8AAAAB3jDnSw"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/easy"",""name"":""easy"",""color"":""0EE9C8"",""default"":false,""description"":""""}]",2025-01-23 23:58:01.000000 UTC
wearypossum4770/dark-coding-challenges,opened,1247,Counting Elements,https://github.com/wearypossum4770/dark-coding-challenges/issues/1247,open,"[{""id"":8022713872,""node_id"":""LA_kwDONp7z0M8AAAAB3jDmEA"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/challenge"",""name"":""challenge"",""color"":""d4c5f9"",""default"":false,""description"":""""},{""id"":8022714187,""node_id"":""LA_kwDONp7z0M8AAAAB3jDnSw"",""url"":""https://api.github.com/repos/wearypossum4770/dark-coding-challenges/labels/easy"",""name"":""easy"",""color"":""0EE9C8"",""default"":false,""description"":""""}]",2025-01-23 23:57:58.000000 UTC
leaderboardsgg/leaderboard-backend,opened,278,Use FromRoute Attribute on Route Params,https://github.com/leaderboardsgg/leaderboard-backend/issues/278,open,"[{""id"":7992455820,""node_id"":""LA_kwDOGnPv1M8AAAAB3GMyjA"",""url"":""https://api.github.com/repos/leaderboardsgg/leaderboard-backend/labels/small%20potatoes"",""name"":""small potatoes"",""color"":""5319E7"",""default"":false,""description"":""Easy stuff""}]",2025-01-23 23:46:37.000000 UTC
krnagy-csu/CST-438-SP-25-P1-G7,opened,9,Create gitignore file,https://github.com/krnagy-csu/CST-438-SP-25-P1-G7/issues/9,open,"[{""id"":8036917301,""node_id"":""LA_kwDONtrYis8AAAAB3wmgNQ"",""url"":""https://api.github.com/repos/krnagy-csu/CST-438-SP-25-P1-G7/labels/documentation"",""name"":""documentation"",""color"":""0075ca"",""default"":true,""description"":""Improvements or additions to documentation""},{""id"":8036917314,""node_id"":""LA_kwDONtrYis8AAAAB3wmgQg"",""url"":""https://api.github.com/repos/krnagy-csu/CST-438-SP-25-P1-G7/labels/1"",""name"":""1"",""color"":""7057ff"",""default"":false,""description"":""Easy""}]",2025-01-23 23:42:50.000000 UTC
krnagy-csu/CST-438-SP-25-P1-G7,opened,8,Write preliminary readme.,https://github.com/krnagy-csu/CST-438-SP-25-P1-G7/issues/8,open,"[{""id"":8036917301,""node_id"":""LA_kwDONtrYis8AAAAB3wmgNQ"",""url"":""https://api.github.com/repos/krnagy-csu/CST-438-SP-25-P1-G7/labels/documentation"",""name"":""documentation"",""color"":""0075ca"",""default"":true,""description"":""Improvements or additions to documentation""},{""id"":8036917314,""node_id"":""LA_kwDONtrYis8AAAAB3wmgQg"",""url"":""https://api.github.com/repos/krnagy-csu/CST-438-SP-25-P1-G7/labels/1"",""name"":""1"",""color"":""7057ff"",""default"":false,""description"":""Easy""}]",2025-01-23 23:42:15.000000 UTC
DanThePanMan/palette-pal,opened,1,Make image height equal in readme.md,https://github.com/DanThePanMan/palette-pal/issues/1,open,"[{""id"":7115322984,""node_id"":""LA_kwDOMM7Ndc8AAAABqBs2aA"",""url"":""https://api.github.com/repos/DanThePanMan/palette-pal/labels/documentation"",""name"":""documentation"",""color"":""0075ca"",""default"":true,""description"":""Improvements or additions to documentation""},{""id"":7115323004,""node_id"":""LA_kwDOMM7Ndc8AAAABqBs2fA"",""url"":""https://api.github.com/repos/DanThePanMan/palette-pal/labels/good%20first%20issue"",""name"":""good first issue"",""color"":""7057ff"",""default"":true,""description"":""Good for newcomers""}]",2025-01-23 23:41:43.000000 UTC
